,Attack,Defense,Generation,HP,Sp. Atk,Sp. Def,Speed,Total,label
782,66.0,70.0,6.0,54.0,44.0,55.0,46.0,335.0,0.0
783,66.0,70.0,6.0,59.0,44.0,55.0,41.0,335.0,0.0
784,90.0,122.0,6.0,65.0,58.0,75.0,84.0,494.0,0.0
785,85.0,122.0,6.0,55.0,58.0,75.0,99.0,494.0,0.0
786,95.0,122.0,6.0,75.0,58.0,75.0,69.0,494.0,0.0
787,100.0,122.0,6.0,85.0,58.0,75.0,54.0,494.0,0.0
788,69.0,85.0,6.0,55.0,32.0,35.0,28.0,304.0,0.0
789,117.0,184.0,6.0,95.0,44.0,46.0,28.0,514.0,0.0
791,70.0,80.0,6.0,85.0,97.0,80.0,123.0,535.0,0.0
792,131.0,95.0,6.0,126.0,131.0,98.0,99.0,680.0,1.0
794,100.0,121.0,6.0,108.0,81.0,95.0,95.0,600.0,1.0
795,100.0,150.0,6.0,50.0,100.0,150.0,50.0,600.0,1.0
797,110.0,60.0,6.0,80.0,150.0,130.0,70.0,600.0,1.0
799,110.0,120.0,6.0,80.0,130.0,90.0,70.0,600.0,1.0
